Title,Author,Publisher,Published Date,Format,Pages,ISBN,Price,Genres,Added Date
100 Bulshit Jobs. . . And How to Get Them,"Bing, Stanley",HarperBusiness,2007-04-24,Paperback,320,9780060734800,14.53,Business,11/25/2024
23 Things They Don't Tell You About Capitalism,"Chang, Ha-Joon",Penguin,2011-09-01,Paperback,304,9780141047973,9.39,Business & Economic History,11/25/2024
A Brief Guide to the Great Equations: The Hunt for Cosmic Beauty in Numbers (Brief Histories),"Crease, Robert P.",Robinson,2009-02-26,Paperback,320,9781845292812,10.33,Cosmology,11/26/2024
A Brief History Of Time From The Big Bang To Black Holes,"Hawking, Stephen; Sagan, Carl; Miller, Ron",Guild Publishing,1990,Hardcover,198,,57.78,Cosmology,08/29/2024
A CHANGE OF CLIMATE: An insightful and moving historical literary fiction novel from the Sunday Times bestselling author,"Mantel, Hilary",Fourth Estate,2010-03-04,Paperback,352,9780007172900,9.39,Contemporary Fiction,11/26/2024
"A Clearing in the Forest: Law, Life, and Mind","Winter, Steven L.",University of Chicago Press,2001-10-15,Paperback,466,9780226902210,,Law,12/02/2024
A Clone of Your Own?: The Science and Ethics of Cloning,"Klotzko, Arlene Judith",OUP Oxford,2004-01-22,Hardcover,162,9780192803092,7.58,Special Features,03/04/2025
A Contemporary Introduction to Free Will,"Kane, Robert H.","Oxford University Press, USA",2005,Paperback,196,9780195149708,,Philosophy,12/02/2024
"A David Lodge Trilogy: Changing Places, Small World, Nice Work","Lodge, David",Penguin,1993-12-02,Paperback,912,9780140172973,3.53,Contemporary Fiction,11/25/2024
A Dictionary of Economics: Second edition (Oxford Paperback Reference),"Black, John",OUP Oxford,2003-07-24,Paperback,528,9780198607670,3.56,Special Features,02/10/2025
A Dictionary of Philosophical Quotations (Blackwell Reference),"Ayer, A.J.; O'Grady, Jane",Wiley-Blackwell,1994-06-27,Paperback,544,9780631194781,28.15,Special Features,11/26/2024
A Dictionary of Philosophy,"Lacey, A.R.",Routledge,1986-10-02,Paperback,274,9780710210036,4.43,Encyclopedias & Subject Guides,11/26/2024
A Dictionary of Political Thought (Pan reference),scruton-roger,Pan Books,1983-10-07,Paperback,499,9780330280990,1.12,Political Science,11/25/2024
